transaction_id,user_id,product_id,store,event_type,event_date,amount_tracked,related_transaction_id
t_0000018,u_000008,annual_basic,stripe,trial_start,2025-01-24,0.0,
p_0000019,u_000008,annual_basic,stripe,trial_convert,2025-01-31,89.99,t_0000018
t_0000020,u_000009,monthly_basic,play_store,trial_start,2024-09-29,0.0,
p_0000021,u_000009,monthly_basic,play_store,trial_convert,2024-10-06,9.99,t_0000020
p_0000022,u_000009,monthly_basic,play_store,renewal,2024-11-05,9.99,
p_0000023,u_000009,monthly_basic,play_store,renewal,2024-12-05,9.99,
p_0000024,u_000009,monthly_basic,play_store,renewal,2025-01-04,9.99,
ch_0000024,u_000009,monthly_basic,play_store,churn,2025-02-02,0.0,p_0000024
t_0000025,u_000010,annual_basic,app_store,trial_start,2024-05-07,0.0,
c_0000025,u_000010,annual_basic,app_store,trial_cancel,2024-05-14,0.0,t_0000025
t_0000026,u_000011,monthly_basic,play_store,trial_start,2024-10-29,0.0,
c_0000026,u_000011,monthly_basic,play_store,trial_cancel,2024-11-05,0.0,t_0000026
t_0000027,u_000012,monthly_basic,app_store,trial_start,2025-08-16,0.0,
p_0000028,u_000012,monthly_basic,app_store,trial_convert,2025-08-23,9.99,t_0000027
p_0000029,u_000012,monthly_basic,app_store,renewal,2025-09-22,9.99,
p_0000030,u_000012,monthly_basic,app_store,renewal,2025-10-22,9.99,
r_0000030,u_000012,monthly_basic,app_store,refund,2025-10-31,-9.99,p_0000030
t_0000031,u_000013,annual_pro,stripe,trial_start,2024-10-24,0.0,
c_0000031,u_000013,annual_pro,stripe,trial_cancel,2024-10-31,0.0,t_0000031
t_0000032,u_000014,monthly_basic,play_store,trial_start,2025-01-24,0.0,
c_0000032,u_000014,monthly_basic,play_store,trial_cancel,2025-01-31,0.0,t_0000032
t_0000033,u_000015,annual_pro,app_store,trial_start,2024-06-17,0.0,
c_0000033,u_000015,annual_pro,app_store,trial_cancel,2024-06-24,0.0,t_0000033
t_0000034,u_000016,monthly_basic,play_store,trial_start,2025-12-02,0.0,
c_0000034,u_000016,monthly_basic,play_store,trial_cancel,2025-12-09,0.0,t_0000034
t_0000035,u_000017,monthly_pro,app_store,trial_start,2025-07-01,0.0,
c_0000035,u_000017,monthly_pro,app_store,trial_cancel,2025-07-08,0.0,t_0000035
t_0000036,u_000018,annual_basic,play_store,trial_start,2024-10-03,0.0,
c_0000036,u_000018,annual_basic,play_store,trial_cancel,2024-10-10,0.0,t_0000036
t_0000037,u_000019,annual_pro,stripe,trial_start,2024-08-14,0.0,
c_0000037,u_000019,annual_pro,stripe,trial_cancel,2024-08-21,0.0,t_0000037
t_0000038,u_000020,monthly_pro,stripe,trial_start,2024-08-23,0.0,
p_0000039,u_000020,monthly_pro,stripe,trial_convert,2024-08-30,19.99,t_0000038
p_0000040,u_000020,monthly_pro,stripe,renewal,2024-09-29,19.99,
p_0000041,u_000020,monthly_pro,stripe,renewal,2024-10-29,19.99,
p_0000042,u_000020,monthly_pro,stripe,renewal,2024-11-28,19.99,
p_0000043,u_000020,monthly_pro,stripe,renewal,2024-12-28,19.99,
p_0000044,u_000020,monthly_pro,stripe,renewal,2025-01-27,19.99,
p_0000045,u_000020,monthly_pro,stripe,renewal,2025-02-26,19.99,
ch_0000045,u_000020,monthly_pro,stripe,churn,2025-03-27,0.0,p_0000045
t_0000046,u_000021,annual_basic,stripe,trial_start,2024-10-01,0.0,
c_0000046,u_000021,annual_basic,stripe,trial_cancel,2024-10-01,0.0,t_0000046
t_0000047,u_000022,monthly_pro,play_store,trial_start,2024-11-20,0.0,
p_0000048,u_000022,monthly_pro,play_store,trial_convert,2024-11-27,19.99,t_0000047
p_0000049,u_000022,monthly_pro,play_store,renewal,2024-12-27,19.99,
ch_0000049,u_000022,monthly_pro,play_store,churn,2025-01-25,0.0,p_0000049
t_0000050,u_000023,monthly_pro,app_store,trial_start,2024-05-27,0.0,
c_0000050,u_000023,monthly_pro,app_store,trial_cancel,2024-06-03,0.0,t_0000050
t_0000051,u_000024,monthly_basic,play_store,trial_start,2025-07-07,0.0,
p_0000052,u_000024,monthly_basic,play_store,trial_convert,2025-07-14,9.99,t_0000051
p_0000053,u_000024,monthly_basic,play_store,renewal,2025-08-13,9.99,
p_0000054,u_000024,monthly_basic,play_store,renewal,2025-09-12,9.99,
p_0000055,u_000024,monthly_basic,play_store,renewal,2025-10-12,9.99,
p_0000056,u_000024,monthly_basic,play_store,renewal,2025-11-11,9.99,
p_0000057,u_000024,monthly_basic,play_store,renewal,2025-12-11,9.99,
t_0000058,u_000025,monthly_pro,stripe,trial_start,2025-02-14,0.0,
p_0000059,u_000025,monthly_pro,stripe,trial_convert,2025-02-21,19.99,t_0000058
p_0000060,u_000025,monthly_pro,stripe,renewal,2025-03-23,19.99,
p_0000061,u_000025,monthly_pro,stripe,renewal,2025-04-22,19.99,
p_0000062,u_000025,monthly_pro,stripe,renewal,2025-05-22,19.99,
p_0000063,u_000025,monthly_pro,stripe,renewal,2025-06-21,19.99,
p_0000064,u_000025,monthly_pro,stripe,renewal,2025-07-21,19.99,
p_0000065,u_000025,monthly_pro,stripe,renewal,2025-08-20,19.99,
p_0000066,u_000025,monthly_pro,stripe,renewal,2025-09-19,19.99,
p_0000067,u_000025,monthly_pro,stripe,renewal,2025-10-19,19.99,
p_0000068,u_000025,monthly_pro,stripe,renewal,2025-11-18,19.99,
p_0000069,u_000025,monthly_pro,stripe,renewal,2025-12-18,19.99,
t_0000070,u_000026,monthly_basic,play_store,trial_start,2025-06-06,0.0,
c_0000070,u_000026,monthly_basic,play_store,trial_cancel,2025-06-13,0.0,t_0000070
t_0000071,u_000027,monthly_basic,play_store,trial_start,2024-06-06,0.0,
c_0000071,u_000027,monthly_basic,play_store,trial_cancel,2024-06-06,0.0,t_0000071
t_0000072,u_000028,monthly_basic,app_store,trial_start,2025-09-04,0.0,
p_0000073,u_000028,monthly_basic,app_store,trial_convert,2025-09-11,9.99,t_0000072
r_0000073,u_000028,monthly_basic,app_store,refund,2025-10-01,-9.99,p_0000073
t_0000074,u_000029,monthly_basic,play_store,trial_start,2025-06-25,0.0,
c_0000074,u_000029,monthly_basic,play_store,trial_cancel,2025-07-02,0.0,t_0000074
t_0000075,u_000030,monthly_basic,play_store,trial_start,2025-11-27,0.0,
c_0000075,u_000030,monthly_basic,play_store,trial_cancel,2025-11-27,0.0,t_0000075
t_0000076,u_000031,monthly_pro,app_store,trial_start,2024-10-02,0.0,
c_0000076,u_000031,monthly_pro,app_store,trial_cancel,2024-10-02,0.0,t_0000076
t_0000077,u_000032,annual_basic,app_store,trial_start,2025-03-21,0.0,
c_0000077,u_000032,annual_basic,app_store,trial_cancel,2025-03-21,0.0,t_0000077
t_0000078,u_000033,annual_basic,play_store,trial_start,2025-05-28,0.0,
p_0000079,u_000033,annual_basic,play_store,trial_convert,2025-06-04,89.99,t_0000078
t_0000080,u_000034,annual_basic,play_store,trial_start,2025-10-02,0.0,
c_0000080,u_000034,annual_basic,play_store,trial_cancel,2025-10-09,0.0,t_0000080
t_0000081,u_000035,monthly_pro,play_store,trial_start,2024-07-23,0.0,
c_0000081,u_000035,monthly_pro,play_store,trial_cancel,2024-07-23,0.0,t_0000081
t_0000082,u_000036,annual_pro,play_store,trial_start,2025-06-27,0.0,
c_0000082,u_000036,annual_pro,play_store,trial_cancel,2025-07-04,0.0,t_0000082
t_0000083,u_000037,annual_basic,app_store,trial_start,2024-01-21,0.0,
c_0000083,u_000037,annual_basic,app_store,trial_cancel,2024-01-28,0.0,t_0000083
t_0000084,u_000038,annual_basic,stripe,trial_start,2024-09-03,0.0,
c_0000084,u_000038,annual_basic,stripe,trial_cancel,2024-09-10,0.0,t_0000084
t_0000085,u_000039,monthly_pro,stripe,trial_start,2024-03-28,0.0,
c_0000085,u_000039,monthly_pro,stripe,trial_cancel,2024-04-04,0.0,t_0000085
t_0000086,u_000040,annual_basic,play_store,trial_start,2024-05-10,0.0,
p_0000087,u_000040,annual_basic,play_store,trial_convert,2024-05-17,89.99,t_0000086
ch_0000087,u_000040,annual_basic,play_store,churn,2025-05-16,0.0,p_0000087
t_0000088,u_000041,monthly_basic,stripe,trial_start,2024-06-20,0.0,
c_0000088,u_000041,monthly_basic,stripe,trial_cancel,2024-06-27,0.0,t_0000088
t_0000089,u_000042,annual_basic,play_store,trial_start,2024-08-06,0.0,
c_0000089,u_000042,annual_basic,play_store,trial_cancel,2024-08-13,0.0,t_0000089
t_0000090,u_000043,annual_basic,play_store,trial_start,2024-11-16,0.0,
c_0000090,u_000043,annual_basic,play_store,trial_cancel,2024-11-23,0.0,t_0000090
t_0000091,u_000044,monthly_pro,play_store,trial_start,2025-03-26,0.0,
p_0000092,u_000044,monthly_pro,play_store,trial_convert,2025-04-02,19.99,t_0000091
ch_0000092,u_000044,monthly_pro,play_store,churn,2025-05-01,0.0,p_0000092
t_0000093,u_000045,annual_pro,app_store,trial_start,2024-08-19,0.0,
c_0000093,u_000045,annual_pro,app_store,trial_cancel,2024-08-19,0.0,t_0000093
t_0000094,u_000046,annual_pro,app_store,trial_start,2024-08-23,0.0,
c_0000094,u_000046,annual_pro,app_store,trial_cancel,2024-08-30,0.0,t_0000094
t_0000095,u_000047,annual_basic,app_store,trial_start,2024-08-24,0.0,
c_0000095,u_000047,annual_basic,app_store,trial_cancel,2024-08-31,0.0,t_0000095
t_0000096,u_000048,annual_basic,app_store,trial_start,2024-03-14,0.0,
p_0000097,u_000048,annual_basic,app_store,trial_convert,2024-03-21,89.99,t_0000096
ch_0000097,u_000048,annual_basic,app_store,churn,2025-03-20,0.0,p_0000097
t_0000098,u_000049,monthly_pro,play_store,trial_start,2024-08-08,0.0,
p_0000099,u_000049,monthly_pro,play_store,trial_convert,2024-08-15,19.99,t_0000098
p_0000100,u_000049,monthly_pro,play_store,renewal,2024-09-14,19.99,
cb_0000100,u_000049,monthly_pro,play_store,chargeback,2024-10-22,-19.99,p_0000100
t_0000101,u_000050,monthly_pro,play_store,trial_start,2025-08-15,0.0,
c_0000101,u_000050,monthly_pro,play_store,trial_cancel,2025-08-22,0.0,t_0000101
t_0000102,u_000051,annual_pro,play_store,trial_start,2024-07-14,0.0,
p_0000103,u_000051,annual_pro,play_store,trial_convert,2024-07-21,179.99,t_0000102
p_0000104,u_000051,annual_pro,play_store,renewal,2025-07-21,179.99,
t_0000105,u_000052,monthly_pro,stripe,trial_start,2025-03-09,0.0,
p_0000106,u_000052,monthly_pro,stripe,trial_convert,2025-03-16,19.99,t_0000105
p_0000107,u_000052,monthly_pro,stripe,renewal,2025-04-15,19.99,
p_0000108,u_000052,monthly_pro,stripe,renewal,2025-05-15,19.99,
p_0000109,u_000052,monthly_pro,stripe,renewal,2025-06-14,19.99,
p_0000110,u_000052,monthly_pro,stripe,renewal,2025-07-14,19.99,
p_0000111,u_000052,monthly_pro,stripe,renewal,2025-08-13,19.99,
p_0000112,u_000052,monthly_pro,stripe,renewal,2025-09-12,19.99,
p_0000113,u_000052,monthly_pro,stripe,renewal,2025-10-12,19.99,
p_0000114,u_000052,monthly_pro,stripe,renewal,2025-11-11,19.99,
p_0000115,u_000052,monthly_pro,stripe,renewal,2025-12-11,19.99,
t_0000116,u_000053,annual_pro,play_store,trial_start,2025-11-21,0.0,
c_0000116,u_000053,annual_pro,play_store,trial_cancel,2025-11-28,0.0,t_0000116
t_0000117,u_000054,annual_pro,stripe,trial_start,2025-02-18,0.0,
p_0000118,u_000054,annual_pro,stripe,trial_convert,2025-02-25,179.99,t_0000117
t_0000119,u_000055,annual_pro,play_store,trial_start,2024-09-12,0.0,
p_0000120,u_000055,annual_pro,play_store,trial_convert,2024-09-19,179.99,t_0000119
p_0000121,u_000055,annual_pro,play_store,renewal,2025-09-19,179.99,
ch_0000121,u_000055,annual_pro,play_store,churn,2026-09-18,0.0,p_0000121
t_0000122,u_000056,annual_basic,play_store,trial_start,2025-03-09,0.0,
p_0000123,u_000056,annual_basic,play_store,trial_convert,2025-03-16,89.99,t_0000122
t_0000124,u_000057,annual_pro,stripe,trial_start,2025-03-29,0.0,
p_0000125,u_000057,annual_pro,stripe,trial_convert,2025-04-05,179.99,t_0000124
t_0000126,u_000058,monthly_basic,play_store,trial_start,2024-02-21,0.0,
c_0000126,u_000058,monthly_basic,play_store,trial_cancel,2024-02-28,0.0,t_0000126
t_0000127,u_000059,annual_basic,stripe,trial_start,2024-04-05,0.0,
c_0000127,u_000059,annual_basic,stripe,trial_cancel,2024-04-12,0.0,t_0000127
t_0000128,u_000060,annual_pro,app_store,trial_start,2025-02-21,0.0,
c_0000128,u_000060,annual_pro,app_store,trial_cancel,2025-02-28,0.0,t_0000128
t_0000129,u_000061,monthly_pro,app_store,trial_start,2024-03-02,0.0,
c_0000129,u_000061,monthly_pro,app_store,trial_cancel,2024-03-09,0.0,t_0000129
t_0000130,u_000062,monthly_pro,play_store,trial_start,2024-09-30,0.0,
p_0000131,u_000062,monthly_pro,play_store,trial_convert,2024-10-07,19.99,t_0000130
p_0000132,u_000062,monthly_pro,play_store,renewal,2024-11-06,19.99,
p_0000133,u_000062,monthly_pro,play_store,renewal,2024-12-06,19.99,
p_0000134,u_000062,monthly_pro,play_store,renewal,2025-01-05,19.99,
p_0000135,u_000062,monthly_pro,play_store,renewal,2025-02-04,19.99,
p_0000136,u_000062,monthly_pro,play_store,renewal,2025-03-06,19.99,
p_0000137,u_000062,monthly_pro,play_store,renewal,2025-04-05,19.99,
p_0000138,u_000062,monthly_pro,play_store,renewal,2025-05-05,19.99,
r_0000138,u_000062,monthly_pro,play_store,refund,2025-05-23,-19.99,p_0000138
t_0000139,u_000063,annual_basic,play_store,trial_start,2025-03-10,0.0,
p_0000140,u_000063,annual_basic,play_store,trial_convert,2025-03-17,89.99,t_0000139
t_0000141,u_000064,monthly_basic,app_store,trial_start,2025-11-09,0.0,
c_0000141,u_000064,monthly_basic,app_store,trial_cancel,2025-11-16,0.0,t_0000141
t_0000142,u_000065,monthly_basic,play_store,trial_start,2024-08-10,0.0,
p_0000143,u_000065,monthly_basic,play_store,trial_convert,2024-08-17,9.99,t_0000142
r_0000143,u_000065,monthly_basic,play_store,refund,2024-09-01,-9.99,p_0000143
t_0000144,u_000066,annual_basic,app_store,trial_start,2024-03-03,0.0,
p_0000145,u_000066,annual_basic,app_store,trial_convert,2024-03-10,89.99,t_0000144
p_0000146,u_000066,annual_basic,app_store,renewal,2025-03-10,89.99,
t_0000147,u_000067,annual_pro,stripe,trial_start,2025-05-04,0.0,
c_0000147,u_000067,annual_pro,stripe,trial_cancel,2025-05-11,0.0,t_0000147
t_0000148,u_000068,annual_pro,app_store,trial_start,2024-03-01,0.0,
c_0000148,u_000068,annual_pro,app_store,trial_cancel,2024-03-08,0.0,t_0000148
t_0000149,u_000069,annual_pro,play_store,trial_start,2024-03-12,0.0,
c_0000149,u_000069,annual_pro,play_store,trial_cancel,2024-03-19,0.0,t_0000149
t_0000150,u_000070,monthly_basic,stripe,trial_start,2025-02-18,0.0,
c_0000150,u_000070,monthly_basic,stripe,trial_cancel,2025-02-18,0.0,t_0000150
t_0000151,u_000071,annual_basic,play_store,trial_start,2025-08-15,0.0,
c_0000151,u_000071,annual_basic,play_store,trial_cancel,2025-08-22,0.0,t_0000151
t_0000152,u_000072,annual_basic,play_store,trial_start,2025-11-06,0.0,
c_0000152,u_000072,annual_basic,play_store,trial_cancel,2025-11-13,0.0,t_0000152
t_0000153,u_000073,annual_basic,app_store,trial_start,2024-07-28,0.0,
p_0000154,u_000073,annual_basic,app_store,trial_convert,2024-08-04,89.99,t_0000153
p_0000155,u_000073,annual_basic,app_store,renewal,2025-08-04,89.99,
t_0000156,u_000074,annual_basic,play_store,trial_start,2025-02-09,0.0,
c_0000156,u_000074,annual_basic,play_store,trial_cancel,2025-02-16,0.0,t_0000156
t_0000157,u_000075,annual_pro,stripe,trial_start,2024-11-20,0.0,
c_0000157,u_000075,annual_pro,stripe,trial_cancel,2024-11-27,0.0,t_0000157
t_0000158,u_000076,annual_pro,play_store,trial_start,2025-04-14,0.0,
c_0000158,u_000076,annual_pro,play_store,trial_cancel,2025-04-21,0.0,t_0000158
t_0000159,u_000077,annual_pro,play_store,trial_start,2024-03-16,0.0,
c_0000159,u_000077,annual_pro,play_store,trial_cancel,2024-03-16,0.0,t_0000159
t_0000160,u_000078,monthly_basic,stripe,trial_start,2024-12-23,0.0,
p_0000161,u_000078,monthly_basic,stripe,trial_convert,2024-12-30,9.99,t_0000160
p_0000162,u_000078,monthly_basic,stripe,renewal,2025-01-29,9.99,
p_0000163,u_000078,monthly_basic,stripe,renewal,2025-02-28,9.99,
p_0000164,u_000078,monthly_basic,stripe,renewal,2025-03-30,9.99,
p_0000165,u_000078,monthly_basic,stripe,renewal,2025-04-29,9.99,
p_0000166,u_000078,monthly_basic,stripe,renewal,2025-05-29,9.99,
p_0000167,u_000078,monthly_basic,stripe,renewal,2025-06-28,9.99,
p_0000168,u_000078,monthly_basic,stripe,renewal,2025-07-28,9.99,
p_0000169,u_000078,monthly_basic,stripe,renewal,2025-08-27,9.99,
p_0000170,u_000078,monthly_basic,stripe,renewal,2025-09-26,9.99,
p_0000171,u_000078,monthly_basic,stripe,renewal,2025-10-26,9.99,
ch_0000171,u_000078,monthly_basic,stripe,churn,2025-11-24,0.0,p_0000171
t_0000172,u_000079,annual_basic,stripe,trial_start,2024-10-20,0.0,
c_0000172,u_000079,annual_basic,stripe,trial_cancel,2024-10-27,0.0,t_0000172
t_0000173,u_000080,monthly_pro,stripe,trial_start,2025-09-19,0.0,
c_0000173,u_000080,monthly_pro,stripe,trial_cancel,2025-09-26,0.0,t_0000173
t_0000174,u_000081,monthly_pro,play_store,trial_start,2024-01-09,0.0,
p_0000175,u_000081,monthly_pro,play_store,trial_convert,2024-01-16,19.99,t_0000174
p_0000176,u_000081,monthly_pro,play_store,renewal,2024-02-15,19.99,
p_0000177,u_000081,monthly_pro,play_store,renewal,2024-03-16,19.99,
p_0000178,u_000081,monthly_pro,play_store,renewal,2024-04-15,19.99,
p_0000179,u_000081,monthly_pro,play_store,renewal,2024-05-15,19.99,
p_0000180,u_000081,monthly_pro,play_store,renewal,2024-06-14,19.99,
r_0000180,u_000081,monthly_pro,play_store,refund,2024-06-19,-19.99,p_0000180
t_0000181,u_000082,monthly_pro,stripe,trial_start,2024-05-19,0.0,
c_0000181,u_000082,monthly_pro,stripe,trial_cancel,2024-05-26,0.0,t_0000181
t_0000182,u_000083,monthly_pro,play_store,trial_start,2024-06-08,0.0,
c_0000182,u_000083,monthly_pro,play_store,trial_cancel,2024-06-15,0.0,t_0000182
t_0000183,u_000084,annual_basic,stripe,trial_start,2024-07-28,0.0,
c_0000183,u_000084,annual_basic,stripe,trial_cancel,2024-08-04,0.0,t_0000183
t_0000184,u_000085,monthly_pro,stripe,trial_start,2025-05-16,0.0,
c_0000184,u_000085,monthly_pro,stripe,trial_cancel,2025-05-23,0.0,t_0000184
t_0000185,u_000086,annual_pro,stripe,trial_start,2024-04-04,0.0,
c_0000185,u_000086,annual_pro,stripe,trial_cancel,2024-04-11,0.0,t_0000185
t_0000186,u_000087,monthly_pro,app_store,trial_start,2024-01-04,0.0,
c_0000186,u_000087,monthly_pro,app_store,trial_cancel,2024-01-11,0.0,t_0000186
t_0000187,u_000088,annual_pro,play_store,trial_start,2024-06-14,0.0,
c_0000187,u_000088,annual_pro,play_store,trial_cancel,2024-06-21,0.0,t_0000187
t_0000188,u_000089,annual_basic,app_store,trial_start,2025-07-28,0.0,
p_0000189,u_000089,annual_basic,app_store,trial_convert,2025-08-04,89.99,t_0000188
t_0000190,u_000090,annual_basic,app_store,trial_start,2025-07-14,0.0,
c_0000190,u_000090,annual_basic,app_store,trial_cancel,2025-07-21,0.0,t_0000190
t_0000191,u_000091,annual_pro,app_store,trial_start,2024-06-02,0.0,
c_0000191,u_000091,annual_pro,app_store,trial_cancel,2024-06-09,0.0,t_0000191
t_0000192,u_000092,annual_basic,app_store,trial_start,2024-02-11,0.0,
c_0000192,u_000092,annual_basic,app_store,trial_cancel,2024-02-11,0.0,t_0000192
t_0000193,u_000093,annual_basic,play_store,trial_start,2025-11-15,0.0,
c_0000193,u_000093,annual_basic,play_store,trial_cancel,2025-11-22,0.0,t_0000193
t_0000194,u_000094,annual_basic,stripe,trial_start,2025-09-29,0.0,
c_0000194,u_000094,annual_basic,stripe,trial_cancel,2025-10-06,0.0,t_0000194
t_0000195,u_000095,monthly_pro,stripe,trial_start,2024-06-15,0.0,
c_0000195,u_000095,monthly_pro,stripe,trial_cancel,2024-06-22,0.0,t_0000195
t_0000196,u_000096,annual_pro,stripe,trial_start,2024-01-26,0.0,
c_0000196,u_000096,annual_pro,stripe,trial_cancel,2024-02-02,0.0,t_0000196
t_0000197,u_000097,monthly_basic,stripe,trial_start,2025-11-18,0.0,
c_0000197,u_000097,monthly_basic,stripe,trial_cancel,2025-11-18,0.0,t_0000197
t_0000198,u_000098,monthly_pro,app_store,trial_start,2024-06-13,0.0,
c_0000198,u_000098,monthly_pro,app_store,trial_cancel,2024-06-13,0.0,t_0000198
t_0000199,u_000099,annual_pro,stripe,trial_start,2025-04-26,0.0,
c_0000199,u_000099,annual_pro,stripe,trial_cancel,2025-04-26,0.0,t_0000199
t_0000200,u_000100,annual_pro,play_store,trial_start,2024-12-25,0.0,
p_0000201,u_000100,annual_pro,play_store,trial_convert,2025-01-01,179.99,t_0000200
t_0000202,u_000101,annual_basic,app_store,trial_start,2024-08-17,0.0,
c_0000202,u_000101,annual_basic,app_store,trial_cancel,2024-08-24,0.0,t_0000202
t_0000203,u_000102,annual_pro,stripe,trial_start,2024-10-13,0.0,
c_0000203,u_000102,annual_pro,stripe,trial_cancel,2024-10-20,0.0,t_0000203
t_0000204,u_000103,annual_pro,app_store,trial_start,2024-12-26,0.0,
c_0000204,u_000103,annual_pro,app_store,trial_cancel,2024-12-26,0.0,t_0000204
t_0000205,u_000104,monthly_pro,app_store,trial_start,2024-12-06,0.0,
p_0000206,u_000104,monthly_pro,app_store,trial_convert,2024-12-13,19.99,t_0000205
r_0000206,u_000104,monthly_pro,app_store,refund,2024-12-28,-19.99,p_0000206
t_0000207,u_000105,annual_pro,stripe,trial_start,2024-07-02,0.0,
c_0000207,u_000105,annual_pro,stripe,trial_cancel,2024-07-09,0.0,t_0000207
t_0000208,u_000106,monthly_pro,app_store,trial_start,2024-04-22,0.0,
p_0000209,u_000106,monthly_pro,app_store,trial_convert,2024-04-29,19.99,t_0000208
p_0000210,u_000106,monthly_pro,app_store,renewal,2024-05-29,19.99,
p_0000211,u_000106,monthly_pro,app_store,renewal,2024-06-28,19.99,
p_0000212,u_000106,monthly_pro,app_store,renewal,2024-07-28,19.99,
p_0000213,u_000106,monthly_pro,app_store,renewal,2024-08-27,19.99,
p_0000214,u_000106,monthly_pro,app_store,renewal,2024-09-26,19.99,
ch_0000214,u_000106,monthly_pro,app_store,churn,2024-10-25,0.0,p_0000214
t_0000215,u_000107,monthly_pro,play_store,trial_start,2025-03-23,0.0,
c_0000215,u_000107,monthly_pro,play_store,trial_cancel,2025-03-30,0.0,t_0000215
t_0000216,u_000108,monthly_basic,app_store,trial_start,2025-08-14,0.0,
c_0000216,u_000108,monthly_basic,app_store,trial_cancel,2025-08-14,0.0,t_0000216
t_0000217,u_000109,monthly_pro,stripe,trial_start,2024-01-03,0.0,
c_0000217,u_000109,monthly_pro,stripe,trial_cancel,2024-01-10,0.0,t_0000217
t_0000218,u_000110,annual_basic,stripe,trial_start,2025-01-08,0.0,
p_0000219,u_000110,annual_basic,stripe,trial_convert,2025-01-15,89.99,t_0000218
ch_0000219,u_000110,annual_basic,stripe,churn,2026-01-14,0.0,p_0000219
t_0000220,u_000111,annual_basic,stripe,trial_start,2025-10-02,0.0,
c_0000220,u_000111,annual_basic,stripe,trial_cancel,2025-10-02,0.0,t_0000220
t_0000221,u_000112,monthly_pro,app_store,trial_start,2025-06-03,0.0,
c_0000221,u_000112,monthly_pro,app_store,trial_cancel,2025-06-10,0.0,t_0000221
t_0000222,u_000113,annual_basic,app_store,trial_start,2025-12-16,0.0,
c_0000222,u_000113,annual_basic,app_store,trial_cancel,2025-12-16,0.0,t_0000222
t_0000223,u_000114,annual_basic,play_store,trial_start,2025-11-13,0.0,
c_0000223,u_000114,annual_basic,play_store,trial_cancel,2025-11-20,0.0,t_0000223
t_0000224,u_000115,annual_pro,app_store,trial_start,2025-09-24,0.0,
c_0000224,u_000115,annual_pro,app_store,trial_cancel,2025-09-24,0.0,t_0000224
t_0000225,u_000116,annual_pro,app_store,trial_start,2024-11-09,0.0,
c_0000225,u_000116,annual_pro,app_store,trial_cancel,2024-11-16,0.0,t_0000225
t_0000226,u_000117,annual_pro,play_store,trial_start,2025-09-13,0.0,
p_0000227,u_000117,annual_pro,play_store,trial_convert,2025-09-20,179.99,t_0000226
t_0000228,u_000118,annual_pro,play_store,trial_start,2025-11-24,0.0,
p_0000229,u_000118,annual_pro,play_store,trial_convert,2025-12-01,179.99,t_0000228
t_0000230,u_000119,annual_pro,play_store,trial_start,2025-11-07,0.0,
c_0000230,u_000119,annual_pro,play_store,trial_cancel,2025-11-14,0.0,t_0000230
t_0000231,u_000120,monthly_basic,stripe,trial_start,2024-12-11,0.0,
c_0000231,u_000120,monthly_basic,stripe,trial_cancel,2024-12-18,0.0,t_0000231
t_0000232,u_000121,monthly_pro,stripe,trial_start,2025-11-21,0.0,
p_0000233,u_000121,monthly_pro,stripe,trial_convert,2025-11-28,19.99,t_0000232
p_0000234,u_000121,monthly_pro,stripe,renewal,2025-12-28,19.99,
t_0000235,u_000122,monthly_pro,stripe,trial_start,2024-01-28,0.0,
